BU,TransCt,Ave Mo TransCt,Earliest Date,First module,Latest Date,Last module,Month Start,Month End,Months Active,Days Active,Month Last Active,Days Last Active,ActivePastMonths,ActiveLast3Mos,ActiveLast6Mos,ActiveLast9Mos,ActiveLast12Mos,NotActive,isAM,isWeekend,Plug Ct,BrandID
B102,2,2,27/01/2019, login,27/01/2019, registration,1,1,1,1,6,154,0,0,0,0,0,1,1,1,0,B
B115,3,1.5,31/01/2019, login,04/02/2019, registration,1,2,2,5,5,146,0,0,0,0,0,1,0,0,0,B
B116,1015,203,01/02/2019, add_plug,26/06/2019, yearly_consumption,2,6,5,146,1,4,5,1,0,0,0,0,0,0,1,B
B127,186,62,01/02/2019, add_plug,25/04/2019, set_ssid,2,4,3,84,3,66,0,0,0,0,0,1,1,0,1,B
B131,4,4,01/02/2019, add_plug,05/02/2019, set_ssid,2,2,1,5,5,145,0,0,0,0,0,1,0,0,0,B
B132,290,58,04/02/2019, add_plug,12/06/2019, yearly_consumption,2,6,5,129,1,18,5,1,0,0,0,0,1,0,1,B
B133,294,58.8,04/02/2019, add_plug,30/06/2019, yearly_consumption,2,6,5,147,1,0,3,1,0,0,0,0,0,0,1,B
B134,1,1,04/02/2019, registration,04/02/2019, registration,2,2,1,1,5,146,0,0,0,0,0,1,1,0,0,B
B137,259,51.8,04/02/2019, add_plug,28/06/2019, weekly_consumption,2,6,5,145,1,2,1,0,0,0,0,0,0,0,1,B
B138,1326,265.2,04/02/2019, add_plug,30/06/2019, weekly_consumption,2,6,5,147,1,0,5,1,0,0,0,0,0,0,1,B
B140,212,42.4,05/02/2019, add_plug,30/06/2019, yearly_consumption,2,6,5,146,1,0,5,1,0,0,0,0,1,0,1,B
B141,96,96,06/02/2019, add_plug,10/02/2019, weekly_consumption,2,2,1,5,5,140,0,0,0,0,0,1,0,0,1,B
B142,10,3.333333333,06/02/2019, add_plug,07/04/2019, set_ssid,2,4,3,61,3,84,0,0,0,0,0,1,0,0,0,B
B143,110,22,06/02/2019, add_plug,28/06/2019, weekly_consumption,2,6,5,143,1,2,5,1,0,0,0,0,0,1,1,B
B150,90,90,09/02/2019, add_plug,19/02/2019, set_ssid,2,2,1,11,5,131,0,0,0,0,0,1,0,0,0,B
B151,1,1,08/02/2019, logout,08/02/2019, logout,2,2,1,1,5,142,0,0,0,0,0,1,0,0,0,B
B152,350,70,11/02/2019, add_plug,27/06/2019, set_ssid,2,6,5,137,1,3,5,1,0,0,0,0,0,0,1,B
B157,19,19,18/02/2019, logout,18/02/2019, olark_chat,2,2,1,1,5,132,0,0,0,0,0,1,0,0,0,B
B158,2,2,17/02/2019, login,17/02/2019, registration,2,2,1,1,5,133,0,0,0,0,0,1,0,1,0,B
B159,50,50,17/02/2019, add_plug,22/02/2019, yearly_consumption,2,2,1,6,5,128,0,0,0,0,0,1,1,0,0,B
B160,409,81.8,18/02/2019, add_plug,29/06/2019, yearly_consumption,2,6,5,132,1,1,5,1,0,0,0,0,0,0,1,B
B163,2,2,18/02/2019, login,18/02/2019, registration,2,2,1,1,5,132,0,0,0,0,0,1,0,0,0,B
B165,5,5,18/02/2019, add_plug,18/02/2019, set_ssid,2,2,1,1,5,132,0,0,0,0,0,1,0,0,0,B
B166,372,74.4,18/02/2019, add_plug,30/06/2019, yearly_consumption,2,6,5,133,1,0,5,1,0,0,0,0,0,0,1,B
B168,10,10,18/02/2019, add_plug,18/02/2019, set_ssid,2,2,1,1,5,132,0,0,0,0,0,1,0,0,0,B
B169,926,231.5,18/02/2019, add_plug,16/05/2019, yearly_consumption,2,5,4,88,2,45,0,0,0,0,0,1,0,0,1,B
B17,7,7,01/12/2018, daily_consumption,16/12/2018, realtime_data,12,12,1,16,7,196,0,0,0,0,0,1,0,1,1,B
B170,2,2,19/02/2019, olark_chat,19/02/2019, registration,2,2,1,1,5,131,0,0,0,0,0,1,0,0,0,B
B171,655,131,19/02/2019, add_plug,30/06/2019, set_ssid,2,6,5,132,1,0,5,1,0,0,0,0,0,0,1,B
B172,1,1,20/02/2019, registration,20/02/2019, registration,2,2,1,1,5,130,0,0,0,0,0,1,1,0,0,B
B173,16,16,20/02/2019, add_plug,22/02/2019, set_ssid,2,2,1,3,5,128,0,0,0,0,0,1,1,0,0,B
B174,3,3,20/02/2019, login,20/02/2019, registration,2,2,1,1,5,130,0,0,0,0,0,1,0,0,0,B
B175,45,9,20/02/2019, add_plug,30/06/2019, set_ssid,2,6,5,131,1,0,5,1,0,0,0,0,0,0,1,B
B182,31,31,21/02/2019, add_plug,27/02/2019, set_ssid,2,2,1,7,5,123,0,0,0,0,0,1,0,0,1,B
B183,3,3,21/02/2019, login,21/02/2019, registration,2,2,1,1,5,129,0,0,0,0,0,1,0,0,0,B
B188,2,2,21/02/2019, login,21/02/2019, registration,2,2,1,1,5,129,0,0,0,0,0,1,0,0,0,B
B190,10,10,22/02/2019, add_plug,23/02/2019, set_ssid,2,2,1,2,5,127,0,0,0,0,0,1,0,0,0,B
B191,163,32.6,22/02/2019, add_plug,22/06/2019, yearly_consumption,2,6,5,121,1,8,1,0,0,0,0,0,0,0,1,B
B197,273,54.6,23/02/2019, add_plug,30/06/2019, weekly_consumption,2,6,5,128,1,0,5,1,0,0,0,0,0,0,1,B
B198,2,2,23/02/2019, login,23/02/2019, registration,2,2,1,1,5,127,0,0,0,0,0,1,0,1,0,B
B199,9,4.5,23/02/2019, add_plug,12/03/2019, set_ssid,2,3,2,18,4,110,0,0,0,0,0,1,0,0,0,B
B200,299,59.8,23/02/2019, add_plug,26/06/2019, yearly_consumption,2,6,5,124,1,4,5,1,0,0,0,0,1,0,1,B
B201,130,26,26/02/2019, add_plug,26/06/2019, set_ssid,2,6,5,121,1,4,5,1,0,0,0,0,0,0,1,B
B203,206,41.2,26/02/2019, add_plug,29/06/2019, update_profile,2,6,5,124,1,1,5,1,0,0,0,0,1,0,1,B
B204,96,19.2,28/02/2019, add_plug,06/06/2019, weekly_consumption,2,6,5,99,1,24,3,1,0,0,0,0,0,0,0,B
B205,8,4,28/02/2019, add_plug,01/03/2019, set_ssid,2,3,2,2,4,121,0,0,0,0,0,1,0,0,0,B
B206,4,4,01/03/2019, login,01/03/2019, update_profile,3,3,1,1,4,121,0,0,0,0,0,1,0,0,0,B
B207,138,34.5,05/03/2019, add_plug,26/06/2019, set_ssid,3,6,4,114,1,4,4,1,0,0,0,0,1,0,1,B
B210,35,17.5,05/03/2019, add_plug,06/04/2019, set_ssid,3,4,2,33,3,85,0,0,0,0,0,1,0,0,1,B
B215,18,6,12/03/2019, add_plug,02/05/2019, set_ssid,3,5,3,52,2,59,0,0,0,0,0,1,0,0,0,B
B216,117,39,07/03/2019, add_plug,13/05/2019, weekly_consumption,3,5,3,68,2,48,0,0,0,0,0,1,0,0,1,B
B219,1,1,07/03/2019, registration,07/03/2019, registration,3,3,1,1,4,115,0,0,0,0,0,1,1,0,0,B
B220,2,2,07/03/2019, login,07/03/2019, registration,3,3,1,1,4,115,0,0,0,0,0,1,1,0,0,B
B222,67,33.5,07/03/2019, add_plug,02/04/2019, yearly_consumption,3,4,2,27,3,89,0,0,0,0,0,1,0,0,1,B
B224,1,1,12/03/2019, registration,12/03/2019, registration,3,3,1,1,4,110,0,0,0,0,0,1,1,0,0,B
B226,195,48.75,14/03/2019, add_plug,11/06/2019, weekly_consumption,3,6,4,90,1,19,4,1,0,0,0,0,0,0,1,B
B228,1,1,18/03/2019, registration,18/03/2019, registration,3,3,1,1,4,104,0,0,0,0,0,1,1,0,0,B
B229,35,17.5,18/03/2019, add_plug,25/04/2019, weekly_consumption,3,4,2,39,3,66,0,0,0,0,0,1,1,0,1,B
B230,8,2,18/03/2019, forgot_password,17/06/2019, registration,3,6,4,92,1,13,1,0,0,0,0,0,0,0,0,B
B275,2,2,26/03/2019, olark_chat,26/03/2019, registration,3,3,1,1,4,96,0,0,0,0,0,1,0,0,0,B
B281,2,2,27/03/2019, logout,28/03/2019, registration,3,3,1,2,4,94,0,0,0,0,0,1,0,0,0,B
B294,523,130.75,27/03/2019, add_plug,30/06/2019, yearly_consumption,3,6,4,96,1,0,4,1,0,0,0,0,1,0,1,B
B295,274,68.5,27/03/2019, add_plug,25/06/2019, set_ssid,3,6,4,91,1,5,4,1,0,0,0,0,0,0,1,B
B30,87,12.42857143,30/11/2018, daily_consumption,08/05/2019, yearly_consumption,11,5,7,160,2,53,0,0,0,0,0,1,0,1,1,B
B302,92,23,28/03/2019, add_plug,29/06/2019, weekly_consumption,3,6,4,94,1,1,4,1,0,0,0,0,1,0,1,B
B304,429,107.25,28/03/2019, add_plug,30/06/2019, yearly_consumption,3,6,4,95,1,0,4,1,0,0,0,0,0,0,1,B
B308,1,1,28/03/2019, registration,28/03/2019, registration,3,3,1,1,4,94,0,0,0,0,0,1,1,0,0,B
B309,441,110.25,28/03/2019, add_plug,22/06/2019, weekly_consumption,3,6,4,87,1,8,4,1,0,0,0,0,1,0,1,B
B31,9,2.25,04/12/2018, add_plug,10/03/2019, set_ssid,12,3,4,97,4,112,0,0,0,0,0,1,0,0,1,B
B310,373,93.25,28/03/2019, add_plug,28/06/2019, yearly_consumption,3,6,4,93,1,2,4,1,0,0,0,0,0,0,1,B
B312,347,86.75,28/03/2019, add_plug,25/06/2019, weekly_consumption,3,6,4,90,1,5,4,1,0,0,0,0,0,0,2,B
